,0
0,158877.8
1,158781.02
2,158432.77
3,157956.73
4,157367.44
5,156648.1
6,155782.28
7,154722.94
8,153451.12
9,151943.97
10,150186.77
11,148174.61
12,145877.1
13,143384.75
14,140681.02
15,137825.6
16,134787.8
17,131367.86
18,127789.734
19,124029.12
20,120046.445
21,116539.516
22,112157.42
23,107997.56
24,103342.9
25,99021.89
26,95407.266
27,90733.914
28,86544.57
29,81686.07
30,77832.375
31,73296.266
32,69676.41
33,65287.277
34,61700.414
35,57474.637
36,53756.516
37,49842.918
38,46893.246
39,43578.36
40,41067.555
41,38415.344
42,35062.527
43,34693.656
44,31648.812
45,28957.385
46,26624.291
47,24477.797
48,25057.156
49,22590.5
50,19982.605
51,18391.836
52,17471.48
53,16473.676
54,14641.884
55,13614.249
56,12832.867
57,11687.525
58,12024.047
59,10132.626
60,14881.653
61,11983.836
62,8508.384
63,8682.398
64,7865.0444
65,7809.019
66,7553.1885
67,7592.5933
68,6520.044
69,5880.9697
70,5360.2427
71,5068.3735
72,4719.8027
73,4603.32
74,4629.3037
75,4857.505
76,4222.5317
77,3802.1072
78,4892.4487
79,7507.546
80,5806.226
81,5096.863
82,4754.2563
83,3295.12
84,5457.1436
85,6546.451
86,4786.987
87,2645.6548
88,2615.208
89,2414.6594
90,2888.4412
91,3538.0417
92,2872.5024
93,1849.9365
94,1419.8091
95,1402.9469
96,3261.5903
97,4191.483
98,4302.6147
99,5080.098
