,0
0,395801.94
1,389562.78
2,373794.28
3,350193.75
4,322833.44
5,300494.6
6,281398.06
7,279608.6
8,232243.8
9,222770.66
10,200918.55
11,187172.23
12,169034.0
13,161922.83
14,156741.78
15,174176.38
16,137224.78
17,120490.6
18,107551.6
19,97807.97
20,116242.16
21,89847.8
22,104332.88
23,65808.56
24,57743.586
25,49717.79
26,41469.56
27,45892.223
28,35553.395
29,35613.688
30,31360.197
31,38351.08
32,36321.645
33,39730.227
34,27360.055
35,29875.732
36,20632.658
37,33774.527
38,39671.28
39,51320.74
40,42784.125
41,36983.004
42,31055.627
43,22827.084
44,22615.613
45,22140.842
46,18617.568
47,15981.279
48,14767.807
49,15695.261
50,17712.537
51,17996.182
52,18553.627
53,15210.544
54,13859.01
55,12866.727
56,11444.4795
57,11649.342
58,10169.618
59,11255.035
60,8498.655
61,8169.9736
62,6867.706
63,6520.9116
64,5921.1904
65,5670.4736
66,5545.0635
67,5641.7324
68,5676.015
69,4729.613
70,4927.3794
71,4603.955
72,5565.8696
73,6083.904
74,12955.643
75,14768.261
76,27811.027
77,23095.271
78,24359.113
79,15830.855
80,28379.8
81,25684.389
82,38785.285
83,15133.249
84,22344.855
85,25141.35
86,14986.813
87,18375.947
88,18662.89
89,15872.121
90,13997.568
91,24094.682
92,24995.7
93,30149.492
94,16625.896
95,14657.737
96,16600.553
97,17338.621
98,13960.918
99,11946.46
100,9311.711
101,10286.164
102,9787.354
103,7828.0347
104,7687.1494
105,7293.9526
106,7755.592
107,7372.3193
108,7719.7046
109,6433.742
110,5994.2266
111,5338.585
112,5040.2876
113,4497.0938
114,4158.1396
115,4072.3037
116,3946.5771
117,4838.286
118,5910.252
119,8705.012
120,10060.453
121,15350.784
122,13399.675
123,14118.443
124,14486.779
125,7015.77
126,5772.222
127,7376.7524
128,8819.621
129,10257.934
130,4994.466
131,4928.203
132,6578.5293
133,6748.4614
134,15510.116
135,11573.002
136,8048.4316
137,7751.598
138,7034.955
139,7163.828
140,9219.498
141,7391.203
142,11269.271
143,13398.538
144,19397.701
145,12439.094
146,10280.915
147,18713.031
148,21679.555
149,33564.793
150,12323.344
151,8947.561
152,15557.528
153,12431.989
154,10761.559
155,6982.465
156,6114.696
157,7086.365
158,6511.581
159,6917.8994
160,5990.6147
161,5753.7295
162,4480.8345
163,4614.9297
164,4081.675
165,4269.4556
166,4246.686
167,4897.5933
168,4667.236
169,5657.5166
170,4931.6567
171,5136.955
172,3648.662
173,3698.4585
174,4266.5034
175,5610.721
176,5207.6875
177,7862.5024
178,9627.31
179,12768.24
180,12003.72
181,12645.731
182,18987.824
183,14014.804
184,8950.754
185,8006.778
186,8960.177
187,6930.8184
188,6182.6177
189,5284.6763
190,6641.777
191,5706.6694
192,4567.1646
193,4209.246
194,3700.3052
195,5635.042
196,9481.68
197,8787.006
198,10837.003
199,7109.5493
200,5587.3813
201,3933.004
202,4425.894
203,5718.595
204,5053.521
205,4244.655
206,3066.2402
207,2679.4377
208,2827.5225
209,2947.8772
210,3411.2212
211,3258.1885
212,4072.0247
213,3996.0166
214,4702.4985
215,4350.6987
216,5270.091
217,4530.8774
218,4728.0435
219,2887.5273
220,2467.3682
221,2322.7263
222,2257.7317
223,2096.8386
224,1920.0621
225,1737.4636
226,1828.0542
227,1770.8849
228,1775.3894
229,1713.8611
230,2292.3323
231,2885.55
232,7659.295
233,7723.964
234,15771.238
235,12927.842
236,24046.084
237,13865.108
238,7670.678
239,8970.492
240,10303.659
241,8697.861
242,8529.099
243,9680.867
244,17551.188
245,24722.043
246,35744.074
247,20792.652
248,19717.447
249,22389.2
250,11601.644
251,9844.68
252,8478.888
253,8475.473
254,7306.1997
255,8485.927
256,8726.719
257,6307.8955
258,5458.718
259,6183.989
260,7806.7944
261,19304.936
262,13784.601
263,14735.729
264,5820.786
265,5534.338
266,8795.966
267,9304.715
268,9668.492
269,4975.7295
270,5025.8794
271,7392.4956
272,6229.1294
273,7238.3213
274,6265.5913
275,7749.2437
276,8079.43
277,7804.7256
278,7127.8086
279,5840.479
280,3981.4382
281,3219.2363
282,2938.4624
283,3010.1577
284,2951.3877
285,3277.796
286,3285.3574
287,3327.5679
288,3672.2427
289,5505.1074
290,5696.9683
291,6899.7085
292,5248.3184
293,5050.833
294,3621.4604
295,5307.314
296,8785.415
297,7498.4253
298,8494.197
299,6500.6157
